ID,base,ckpt140,ckpt75,delta_75_vs_base,delta_140_vs_base
5,9.666666666666666,1.3333333333333333,9.666666666666666,0.0,-8.333333333333332
8,9.333333333333334,8.0,8.666666666666666,-0.6666666666666679,-1.333333333333334
28,9.666666666666666,8.666666666666666,9.0,-0.6666666666666661,-1.0
26,9.666666666666666,8.666666666666666,9.0,-0.6666666666666661,-1.0
15,9.666666666666666,8.666666666666666,9.0,-0.6666666666666661,-1.0
43,9.666666666666666,9.0,10.0,0.3333333333333339,-0.6666666666666661
4,9.666666666666666,9.0,9.0,-0.6666666666666661,-0.6666666666666661
46,9.666666666666666,9.0,9.0,-0.6666666666666661,-0.6666666666666661
11,9.666666666666666,9.0,9.0,-0.6666666666666661,-0.6666666666666661
24,9.666666666666666,9.333333333333334,9.666666666666666,0.0,-0.33333333333333215
