ID,model,score
1,base,9.666666666666666
2,base,9.666666666666666
3,base,9.666666666666666
4,base,9.666666666666666
5,base,9.666666666666666
6,base,9.666666666666666
7,base,9.666666666666666
8,base,9.333333333333334
9,base,9.666666666666666
10,base,9.666666666666666
11,base,9.666666666666666
12,base,7.333333333333333
13,base,9.666666666666666
14,base,9.666666666666666
15,base,9.666666666666666
16,base,9.666666666666666
17,base,9.666666666666666
18,base,9.666666666666666
19,base,9.666666666666666
20,base,10.0
21,base,9.666666666666666
22,base,9.333333333333334
23,base,9.666666666666666
24,base,9.666666666666666
25,base,9.666666666666666
26,base,9.666666666666666
27,base,9.666666666666666
28,base,9.666666666666666
29,base,10.0
30,base,9.333333333333334
31,base,9.666666666666666
32,base,9.333333333333334
33,base,10.0
34,base,9.666666666666666
35,base,9.666666666666666
36,base,9.666666666666666
37,base,9.666666666666666
38,base,9.333333333333334
39,base,9.666666666666666
40,base,9.666666666666666
41,base,9.666666666666666
42,base,9.333333333333334
43,base,9.666666666666666
44,base,9.666666666666666
45,base,9.666666666666666
46,base,9.666666666666666
47,base,9.666666666666666
1,ckpt75,10.0
2,ckpt75,9.666666666666666
3,ckpt75,9.333333333333334
4,ckpt75,9.0
5,ckpt75,9.666666666666666
6,ckpt75,9.0
7,ckpt75,9.666666666666666
8,ckpt75,8.666666666666666
9,ckpt75,9.0
10,ckpt75,9.0
11,ckpt75,9.0
12,ckpt75,10.0
13,ckpt75,9.666666666666666
14,ckpt75,9.0
15,ckpt75,9.0
16,ckpt75,9.666666666666666
17,ckpt75,9.666666666666666
18,ckpt75,10.0
19,ckpt75,9.666666666666666
20,ckpt75,10.0
21,ckpt75,10.0
22,ckpt75,8.666666666666666
23,ckpt75,9.666666666666666
24,ckpt75,9.666666666666666
25,ckpt75,9.666666666666666
26,ckpt75,9.0
27,ckpt75,9.666666666666666
28,ckpt75,9.0
29,ckpt75,10.0
30,ckpt75,9.333333333333334
31,ckpt75,9.0
32,ckpt75,9.333333333333334
33,ckpt75,10.0
34,ckpt75,9.666666666666666
35,ckpt75,10.0
36,ckpt75,9.666666666666666
37,ckpt75,10.0
38,ckpt75,9.333333333333334
39,ckpt75,9.0
40,ckpt75,9.666666666666666
41,ckpt75,9.0
42,ckpt75,9.333333333333334
43,ckpt75,10.0
44,ckpt75,0.0
45,ckpt75,9.666666666666666
46,ckpt75,9.0
47,ckpt75,9.666666666666666
1,ckpt140,10.0
2,ckpt140,10.0
3,ckpt140,9.666666666666666
4,ckpt140,9.0
5,ckpt140,1.3333333333333333
6,ckpt140,9.666666666666666
7,ckpt140,9.666666666666666
8,ckpt140,8.0
9,ckpt140,9.666666666666666
10,ckpt140,9.666666666666666
11,ckpt140,9.0
12,ckpt140,9.666666666666666
13,ckpt140,9.333333333333334
14,ckpt140,10.0
15,ckpt140,8.666666666666666
16,ckpt140,9.666666666666666
17,ckpt140,9.333333333333334
18,ckpt140,10.0
19,ckpt140,10.0
20,ckpt140,10.0
21,ckpt140,9.666666666666666
22,ckpt140,9.333333333333334
23,ckpt140,10.0
24,ckpt140,9.333333333333334
25,ckpt140,9.666666666666666
26,ckpt140,8.666666666666666
27,ckpt140,10.0
28,ckpt140,8.666666666666666
29,ckpt140,10.0
30,ckpt140,10.0
31,ckpt140,9.666666666666666
32,ckpt140,10.0
33,ckpt140,10.0
34,ckpt140,10.0
35,ckpt140,10.0
36,ckpt140,10.0
37,ckpt140,10.0
38,ckpt140,10.0
39,ckpt140,10.0
40,ckpt140,10.0
41,ckpt140,9.333333333333334
42,ckpt140,10.0
43,ckpt140,9.0
44,ckpt140,10.0
45,ckpt140,9.666666666666666
46,ckpt140,9.0
47,ckpt140,9.333333333333334
