ID,base,ckpt140,ckpt75
1,9.666666666666666,10.0,10.0
2,9.666666666666666,10.0,9.666666666666666
3,9.666666666666666,9.666666666666666,9.333333333333334
4,9.666666666666666,9.0,9.0
5,9.666666666666666,1.3333333333333333,9.666666666666666
6,9.666666666666666,9.666666666666666,9.0
7,9.666666666666666,9.666666666666666,9.666666666666666
8,9.333333333333334,8.0,8.666666666666666
9,9.666666666666666,9.666666666666666,9.0
10,9.666666666666666,9.666666666666666,9.0
11,9.666666666666666,9.0,9.0
12,7.333333333333333,9.666666666666666,10.0
13,9.666666666666666,9.333333333333334,9.666666666666666
14,9.666666666666666,10.0,9.0
15,9.666666666666666,8.666666666666666,9.0
16,9.666666666666666,9.666666666666666,9.666666666666666
17,9.666666666666666,9.333333333333334,9.666666666666666
18,9.666666666666666,10.0,10.0
19,9.666666666666666,10.0,9.666666666666666
20,10.0,10.0,10.0
21,9.666666666666666,9.666666666666666,10.0
22,9.333333333333334,9.333333333333334,8.666666666666666
23,9.666666666666666,10.0,9.666666666666666
24,9.666666666666666,9.333333333333334,9.666666666666666
25,9.666666666666666,9.666666666666666,9.666666666666666
26,9.666666666666666,8.666666666666666,9.0
27,9.666666666666666,10.0,9.666666666666666
28,9.666666666666666,8.666666666666666,9.0
29,10.0,10.0,10.0
30,9.333333333333334,10.0,9.333333333333334
31,9.666666666666666,9.666666666666666,9.0
32,9.333333333333334,10.0,9.333333333333334
33,10.0,10.0,10.0
34,9.666666666666666,10.0,9.666666666666666
35,9.666666666666666,10.0,10.0
36,9.666666666666666,10.0,9.666666666666666
37,9.666666666666666,10.0,10.0
38,9.333333333333334,10.0,9.333333333333334
39,9.666666666666666,10.0,9.0
40,9.666666666666666,10.0,9.666666666666666
41,9.666666666666666,9.333333333333334,9.0
42,9.333333333333334,10.0,9.333333333333334
43,9.666666666666666,9.0,10.0
44,9.666666666666666,10.0,0.0
45,9.666666666666666,9.666666666666666,9.666666666666666
46,9.666666666666666,9.0,9.0
47,9.666666666666666,9.333333333333334,9.666666666666666
